LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA36960,4,3,7,7,7,10,11,44,57,20,31,52,50,21,74,63,16,79,66,18,80,101,9,111,87,10,90,72,4,72,50,3,55,37,0,40,66,7,74,26,3,28,16,0,16,8,4,9,7,0,11,80,0,82,21,16,43,782,207,988
LGA37010,347,471,820,196,229,425,317,942,1258,333,1352,1688,1099,2752,3853,1338,1565,2902,2987,1492,4474,2769,1786,4559,3589,1844,5425,3744,1463,5206,3190,1112,4302,3171,772,3942,6238,993,7228,4446,210,4657,2623,101,2720,1632,301,1931,2587,100,2687,5457,691,6144,614,775,1385,46667,18937,65599
LGA37300,7,0,10,0,0,0,0,3,3,0,4,4,3,4,13,3,7,10,5,6,17,9,16,27,11,25,39,30,22,51,35,39,71,54,37,92,139,57,197,133,3,137,123,0,126,71,9,86,155,5,162,97,5,104,15,7,13,896,251,1148
LGA37310,90,82,172,54,54,103,55,165,227,77,284,366,286,655,937,276,279,556,692,284,975,534,312,847,721,293,1011,689,178,865,508,107,613,522,94,620,989,162,1148,603,19,625,314,13,329,208,58,264,394,15,404,908,54,965,150,168,316,8081,3269,11350
LGA37340,71,85,154,42,57,95,72,210,284,60,309,367,233,581,816,242,322,563,609,327,941,503,323,827,666,294,960,700,202,901,475,141,623,550,104,662,887,168,1053,569,40,610,341,18,358,194,69,266,349,27,380,964,104,1071,146,200,344,7678,3580,11255
LGA37400,7,5,14,7,6,8,4,6,11,4,13,19,16,40,52,8,22,30,19,22,40,13,10,24,15,21,38,36,18,54,15,6,19,24,0,26,32,3,40,19,0,19,3,0,3,5,4,15,13,0,13,47,3,44,5,14,26,271,195,469
LGA37550,0,0,0,0,4,3,16,9,27,6,5,15,19,5,26,17,8,22,25,8,32,25,0,21,14,4,21,22,4,23,4,0,4,3,0,7,11,3,12,0,0,3,4,0,4,0,0,0,0,0,0,16,0,16,9,8,17,188,63,245
LGA37570,0,0,0,0,0,0,0,0,4,0,3,6,6,0,14,10,0,10,7,0,7,12,0,12,10,0,10,3,3,4,3,0,3,3,0,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,66,14,78
LGA37600,0,0,0,4,0,3,6,25,34,3,9,5,23,0,20,22,4,23,41,4,41,47,3,45,49,0,53,46,0,46,35,3,35,28,0,28,33,0,33,15,3,12,9,0,9,8,0,8,4,0,4,55,0,55,0,3,3,408,57,465
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
