LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA33610,23,0,54,26,14,13,9,25,0,156,0,0,0,0,0,0,0,0,0,6,10,9,3,3,3,0,0,5,3,28,18,3,18,11,3,6,11,36,11,114,541,523,453,306,264,124,156,257,24,2653
LGA33620,77,13,274,109,54,87,36,128,3,787,0,3,0,3,0,3,0,0,0,16,13,15,18,17,16,7,11,17,3,125,49,18,57,28,21,44,37,83,48,389,1257,1996,2126,1455,1080,683,640,1018,158,10417
LGA33800,16,6,58,16,25,15,20,21,0,179,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,4,3,0,0,21,21,12,15,15,8,10,12,29,10,128,320,508,580,326,210,104,250,217,34,2545
LGA33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,11,13,21,19,26,18,3,23,19,8,151
LGA33960,347,84,1004,536,391,378,193,315,28,3274,7,12,5,15,13,25,10,24,8,123,73,115,100,102,90,37,134,65,32,756,91,78,233,192,164,110,220,306,262,1651,5122,11060,9896,7625,6734,3054,3267,3813,874,51446
LGA33980,27,10,127,30,49,20,79,40,0,381,0,0,0,0,0,0,0,3,0,11,6,6,6,6,0,0,21,0,3,57,20,11,58,14,15,15,69,33,16,252,695,994,1717,365,463,159,1014,395,71,5874
LGA34420,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,11,14,23,21,32,11,5,7,10,4,125
LGA34530,51,16,226,87,68,65,45,64,6,628,3,0,0,4,0,0,0,0,0,12,14,16,14,6,10,4,21,10,0,88,33,19,50,24,26,33,54,49,35,322,1123,2221,2240,1133,961,443,686,511,123,9442
LGA34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,0,3,7,6,34,9,29,10,17,8,0,5,13,7,101
LGA34580,61,7,201,95,47,52,52,107,3,623,7,0,0,0,0,4,0,8,0,25,20,12,15,15,11,3,32,22,0,136,42,17,62,40,35,33,53,79,42,412,1033,1671,1792,1173,922,479,610,1069,126,8874
LGA34590,446,143,1438,732,621,583,351,567,44,4927,6,11,22,17,25,14,16,26,7,151,122,151,156,132,135,44,194,123,52,1105,175,139,445,259,263,196,387,441,428,2732,7887,15471,15919,10234,10485,5005,5589,6499,1246,78344
LGA34710,13,0,23,18,12,3,3,10,0,81,0,0,0,0,0,0,0,0,0,8,3,0,0,3,3,0,0,0,0,15,17,5,9,9,4,7,0,11,12,65,224,276,173,133,124,51,39,84,17,1120
LGA34770,187,60,622,253,198,209,199,200,18,1953,3,7,5,0,0,9,3,18,0,49,36,57,60,28,49,11,71,32,12,360,99,49,227,81,63,93,176,169,143,1104,3432,6919,8655,3086,3114,1521,2956,2023,487,32196
LGA34800,3,0,3,3,3,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,3,11,74,33,43,20,16,6,21,30,3,252
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,8,9,10,4,3,3,0,58
